Date,Open,High,Low,Close,Volume,Adj Close
2010-03-18,117.110001,117.269997,116.57,117.040001,196509100,103.076019
2010-03-17,116.760002,117.480003,116.419998,117.099998,177468100,103.128858
2010-03-16,115.809998,116.519997,115.489998,116.410004,168673000,102.521186
2010-03-15,115.260002,115.57,114.599998,115.489998,146816800,101.710946
2010-03-12,115.949997,115.970001,115.139999,115.459999,162074800,101.684526
2010-03-11,114.699997,115.480003,114.349998,115.449997,160791100,101.675717
2010-03-10,114.510002,115.279999,114.410004,114.970001,186088800,101.25299
2010-03-09,113.93,114.989998,113.870003,114.459999,154556700,100.803836
2010-03-08,114.260002,114.519997,114.07,114.269997,114631200,100.636502
2010-03-05,113.370003,114.339996,113.099998,114.25,176118800,100.618891
2010-03-04,112.449997,112.800003,112.029999,112.639999,135770400,99.200979
2010-03-03,112.489998,112.970001,112.019997,112.300003,150785000,98.901548
2010-03-02,112.370003,112.739998,112.00,112.199997,160992400,98.813473
2010-03-01,111.199997,112.00,111.169998,111.889999,147709700,98.540461
2010-02-26,110.769997,111.120003,110.110001,110.739998,173589300,97.527666
2010-02-25,109.239998,110.75,108.940002,110.669998,259634700,97.466018
2010-02-24,110.139999,111.00,109.860001,110.82,176350700,97.598123
2010-02-23,110.860001,111.199997,109.519997,109.809998,207497000,96.708623
2010-02-22,111.550003,111.580002,110.830002,111.160004,132346900,97.897561
2010-02-19,110.620003,111.57,110.360001,111.139999,222684900,97.879943
2010-02-18,110.080002,111.139999,110.040001,110.910004,193708600,97.677388
2010-02-17,110.269997,110.410004,109.739998,110.260002,168845100,97.104938
2010-02-16,108.860001,109.849998,107.82,109.739998,159317500,96.646975
2010-02-12,106.989998,108.099998,106.510002,108.040001,304622100,95.149804
2010-02-11,106.870003,108.25,106.25,108.129997,223591600,95.229063
2010-02-10,107.050003,107.599998,106.110001,107.010002,240511500,94.242694
2010-02-09,107.129997,108.150002,106.269997,107.220001,337820500,94.427638
2010-02-08,106.739998,107.330002,105.809998,105.889999,224166900,93.256318
2010-02-05,106.559998,106.879997,104.580002,106.660004,493585800,93.934454
2010-02-04,108.980003,109.029999,106.419998,106.440002,356715700,93.740701
2010-02-03,109.879997,110.480003,109.510002,109.830002,172730700,96.726241
2010-02-02,109.260002,110.589996,108.879997,110.379997,216327900,97.210617
2010-02-01,108.150002,109.07,107.50,109.059998,187865000,96.048105
2010-01-29,109.040001,109.800003,107.220001,107.389999,310677600,94.577354
2010-01-28,110.190002,110.25,107.910004,108.57,316104000,95.616569
2010-01-27,109.169998,110.080002,108.330002,109.830002,271863600,96.726241
2010-01-26,109.339996,110.470001,109.040001,109.309998,211168800,96.268278
2010-01-25,110.209999,110.410004,109.410004,109.769997,186937500,96.673395
2010-01-22,111.199997,111.739998,109.089996,109.209999,345942400,96.18021
2010-01-21,113.919998,114.269997,111.559998,111.699997,344859600,98.373128
2010-01-20,114.279999,114.449997,112.980003,113.889999,216490200,100.301842
2010-01-19,113.620003,115.129997,113.589996,115.059998,139172700,101.332249
2010-01-15,114.730003,114.839996,113.199997,113.639999,212283100,100.08167
2010-01-14,114.489998,115.139999,114.419998,114.93,115718800,101.217761
2010-01-13,113.949997,114.940002,113.370003,114.620003,161822000,100.944749
2010-01-12,113.970001,114.209999,113.220001,113.660004,163333500,100.099287
2010-01-11,115.080002,115.129997,114.239998,114.730003,106375700,101.041626
2010-01-08,113.889999,114.620003,113.660004,114.57,126402800,100.900712
2010-01-07,113.50,114.330002,113.18,114.190002,131091100,100.566052
2010-01-06,113.519997,113.989998,113.43,113.709999,116074400,100.143318
2010-01-05,113.260002,113.68,112.849998,113.629997,111579900,100.072861
2010-01-04,112.370003,113.389999,111.510002,113.330002,118944600,99.808658
2009-12-31,112.769997,112.800003,111.389999,111.440002,90637900,98.144153
2009-12-30,112.230003,112.650002,112.169998,112.519997,73138400,99.095294
2009-12-29,113.010002,113.029999,112.550003,112.559998,80572500,99.130522
2009-12-28,112.900002,112.989998,112.32,112.720001,87508500,99.271436
2009-12-24,112.190002,112.599998,112.00,112.480003,39677500,99.060072
2009-12-23,112.00,112.110001,111.50,111.949997,111783100,98.5933
2009-12-22,111.57,111.970001,111.43,111.730003,91707500,98.399554
2009-12-21,110.760002,111.699997,110.760002,111.330002,118039600,98.047277
2009-12-18,110.199997,110.300003,109.279999,110.209999,174591200,97.060901
2009-12-17,110.720001,110.93,110.080002,110.18,183390100,96.514875
2009-12-16,111.800003,112.129997,111.269997,111.519997,155358200,97.688677
2009-12-15,111.459999,111.919998,111.00,111.349998,120408800,97.539763
2009-12-14,111.870003,112.00,111.129997,111.870003,107141500,97.995274
2009-12-11,111.110001,111.360001,110.610001,111.110001,124854000,97.329531
2009-12-10,110.699997,111.120003,110.449997,110.639999,138014600,96.917822
2009-12-09,109.580002,110.18,109.019997,110.019997,155063400,96.374716
2009-12-08,110.040001,110.769997,109.269997,109.610001,169863700,96.015569
2009-12-07,110.910004,111.529999,110.489998,110.839996,127973800,97.093014
2009-12-04,111.839996,112.379997,110.040001,111.010002,274907800,97.241935
2009-12-03,111.550003,112.18,110.290001,110.379997,167324900,96.690067
2009-12-02,111.279999,112.010002,110.919998,111.25,132315100,97.452167
2009-12-01,110.919998,111.660004,110.730003,111.300003,159613700,97.495969
2009-11-30,109.480003,110.199997,108.120003,109.940002,160874800,96.304643
2009-11-27,108.400002,110.32,108.290001,109.57,126001800,95.98053
2009-11-25,111.169998,111.50,110.82,111.379997,109564800,97.566041
2009-11-24,111.00,111.199997,110.010002,110.989998,138420100,97.224412
2009-11-23,110.720001,111.739998,110.599998,110.82,148010200,97.075498
2009-11-20,109.25,109.760002,109.010002,109.43,134196000,95.857894
2009-11-19,110.510002,111.309998,109.129997,109.82,208734600,96.199523
2009-11-18,111.260002,111.43,110.57,111.269997,156486800,97.469684
2009-11-17,110.919998,111.389999,110.50,111.339996,147134100,97.531002
2009-11-16,110.379997,111.690002,110.32,111.209999,210922200,97.417127
2009-11-13,109.309998,110.089996,108.75,109.620003,150963000,96.024331
2009-11-12,110.00,110.57,108.75,109.029999,157144500,95.507503
2009-11-11,110.309998,110.82,109.620003,110.150002,169466200,96.488596
2009-11-10,109.309998,109.93,108.970001,109.589996,171899800,95.998046
2009-11-09,107.949997,109.629997,107.870003,109.57,159495700,95.98053
2009-11-06,106.260002,107.400002,106.050003,107.129997,170954100,93.84315
2009-11-05,105.660004,106.879997,105.440002,106.849998,180015300,93.597878
2009-11-04,105.510002,106.330002,104.650002,104.919998,247996700,91.907247
2009-11-03,103.739998,104.800003,103.540001,104.650002,228362600,91.670737
2009-11-02,104.129997,105.410004,103.080002,104.32,254222900,91.381663
2009-10-30,106.300003,106.620003,103.440002,103.559998,325608100,90.715921
2009-10-29,105.190002,106.860001,104.940002,106.650002,198110600,93.422686
2009-10-28,106.150002,106.480003,104.349998,104.410004,248821400,91.460505
2009-10-27,107.029999,107.389999,106.160004,106.419998,253266300,93.221209
2009-10-26,108.199997,109.309998,106.610001,106.910004,242028200,93.650441
2009-10-23,109.690002,109.760002,107.629997,108.080002,240033200,94.675329
